Date,Price
1455454800000,16.27
1455458400000,15.13
1455462000000,16.96
1455465600000,21.21
1455469200000,29.94
1455472800000,30.38
1455476400000,23.57
1455480000000,20.21
1455483600000,20.33
1455487200000,17.52
1455490800000,16.57
1455494400000,16.0
1455498000000,14.36
1455501600000,13.14
1455505200000,12.68
1455508800000,14.65
1455512400000,21.12
1455516000000,32.18
1455519600000,30.11
1455523200000,31.72
1455526800000,30.91
1455530400000,29.93
1455534000000,27.22
1455537600000,25.39
1455541200000,24.81
1455544800000,24.4
1455548400000,24.93
1455552000000,28.45
1455555600000,35.19
1455559200000,32.19
1455562800000,30.05
1455566400000,24.39
1455570000000,25.87
1455573600000,22.39
1455577200000,22.37
1455580800000,22.32
1455584400000,22.31
1455588000000,22.04
1455591600000,21.83
1455595200000,22.74
1455598800000,29.39
1455602400000,40.43
1455606000000,42.46
1455609600000,42.42
1455613200000,37.91
1455616800000,35.72
1455620400000,33.07
1455624000000,32.77
1455627600000,31.7
1455631200000,32.09
1455634800000,34.88
1455638400000,39.81
1455642000000,53.46
1455645600000,49.71
1455649200000,33.96
1455652800000,27.0
1455656400000,24.98
1455660000000,21.48
1455663600000,18.97
1455667200000,18.86
1455670800000,18.7
1455674400000,18.74
1455678000000,19.58
1455681600000,19.0
1455685200000,22.75
1455688800000,30.97
1455692400000,31.71
1455696000000,29.95
1455699600000,23.53
1455703200000,24.77
1455706800000,23.55
1455710400000,24.72
1455714000000,25.91
1455717600000,29.9
1455721200000,30.67
1455724800000,38.06
1455728400000,40.87
1455732000000,33.96
1455735600000,29.94
1455739200000,24.05
1455742800000,24.25
1455746400000,22.73
1455750000000,20.74
1455753600000,20.57
1455757200000,18.87
1455760800000,19.88
1455764400000,19.89
1455768000000,20.33
1455771600000,23.16
1455775200000,35.53
1455778800000,39.92
1455782400000,34.97
1455786000000,29.92
1455789600000,25.98
1455793200000,23.77
1455796800000,24.53
1455800400000,25.13
1455804000000,29.04
1455807600000,32.0
1455811200000,38.74
1455814800000,45.08
1455818400000,38.06
1455822000000,32.24
1455825600000,25.95
1455829200000,23.09
1455832800000,21.34
1455836400000,21.85
1455840000000,21.44
1455843600000,21.75
1455847200000,22.19
1455850800000,22.37
1455854400000,19.46
1455858000000,27.83
1455861600000,34.98
1455865200000,38.49
1455868800000,34.95
1455872400000,34.95
1455876000000,37.91
1455879600000,31.55
1455883200000,27.93
1455886800000,25.25
1455890400000,25.09
1455894000000,24.84
1455897600000,30.04
1455901200000,34.94
1455904800000,27.99
1455908400000,23.69
1455912000000,24.93
1455915600000,23.38
1455919200000,18.9
1455922800000,18.3
1455926400000,16.82
1455930000000,11.54
1455933600000,9.69
1455937200000,9.52
1455940800000,5.01
1455944400000,5.06
1455948000000,9.09
1455951600000,8.69
1455955200000,13.43
1455958800000,16.36
1455962400000,17.0
1455966000000,16.96
1455969600000,15.94
1455973200000,15.77
1455976800000,16.05
1455980400000,16.15
1455984000000,18.99
1455987600000,24.22
1455991200000,23.49
1455994800000,18.96
1455998400000,13.92
1456002000000,11.79
1456005600000,7.8100000000000005
1456009200000,9.37
1456012800000,6.52
1456016400000,5.09
1456020000000,3.14
1456023600000,0.46
1456027200000,0.13
1456030800000,-0.05
1456034400000,0.13
1456038000000,5.62
1456041600000,10.81
1456045200000,13.07
1456048800000,14.94
1456052400000,14.95
1456056000000,10.6
